customer_number,berlangganan_deposito
100423,0.21818215350857073
100590,0.07856797433351494
100597,0.028832797124752056
100639,0.033984206023766915
100664,0.03844567577825022
100695,0.0452230078112542
100750,0.04485332962030064
100935,0.03464071433683056
101008,0.03169709991010925
101073,0.14331379896450397
101086,0.03691053190717415
101342,0.05064139256654186
101395,0.0578301498368507
101480,0.04540056723622277
101627,0.040645093152997684
101770,0.03567706212871782
101801,0.4865429616301116
101921,0.8190405964859655
102294,0.053671594679361036
102363,0.06392133839091504
102418,0.060307514617380126
102554,0.10158836268312876
102721,0.04667183688083843
102722,0.02710567372239509
102846,0.04194031879483446
103132,0.046031341749347664
103361,0.09940761044784635
103384,0.05599498816673539
103390,0.071728500363017
103394,0.05726131119329839
103418,0.04451152761582511
103462,0.3199802427179257
103617,0.030535010462635414
103850,0.0506271896024844
103998,0.5716493365621637
104061,0.02979454974283239
104062,0.06713440489234111
104321,0.037994602459963715
104326,0.06538904907158857
104414,0.2939106776673839
104433,0.23807034696827847
104652,0.0548719058332129
104658,0.020883323948706227
104801,0.0612157170438141
104967,0.04923489767891069
105082,0.1319536572137488
105174,0.037197165664030335
105206,0.0662989802454946
105251,0.5558048143374125
105542,0.03532000126420317
105897,0.06565922771898335
105940,0.03302960262620968
106111,0.04293630399523649
106415,0.09243492134049962
106582,0.13180027201257505
106800,0.043929805520755975
106817,0.07053405286776607
106856,0.044000705735404884
106954,0.06104172136016995
107084,0.38423289949099654
107169,0.04682215617148624
107325,0.026737851443562
107491,0.05314273059155218
107682,0.03057946861527702
107748,0.0358050213688944
107997,0.04114571633977389
108047,0.12098995210147853
108323,0.06529449744391186
108712,0.04788459344649878
108814,0.0690854021444864
108830,0.05089615230820537
108910,0.038358440213754876
108926,0.09155157189071626
108973,0.5197776417159785
109059,0.05620884276574841
109510,0.20312963465149944
110031,0.06745110136251459
110335,0.03008038786495217
110452,0.1200498815053089
110682,0.804460419861185
110870,0.5292061598761924
111009,0.03933017041878868
111015,0.04948854446405188
111056,0.03848371979662277
111059,0.054444225104182155
111118,0.03958593933345247
111189,0.051179342337291614
111832,0.035547242678663
112042,0.06986485776377271
112177,0.06751206660511097
112195,0.03715391512038473
112219,0.1315880738766151
112294,0.061815855862709115
112359,0.047894434591511964
112396,0.06476452450227495
112674,0.028128131055779226
112831,0.5980175864468479
112834,0.0510919747456219
113129,0.048490758803217106
113391,0.04587563184299913
113505,0.04147499663832646
113666,0.057042527973395304
113680,0.04870864395359665
113787,0.6133638310177476
114071,0.0410498450386215
114258,0.030664593923453505
114312,0.06142412620268869
114373,0.256319948536088
114417,0.2946382517517297
114504,0.029326687820466796
114692,0.193280291064351
114824,0.16269886298149752
114873,0.058050428907808316
115348,0.035387456949083816
115605,0.01908118984501646
115649,0.04127759649372986
115751,0.05489702219685561
115852,0.05118750926459052
116128,0.03722228179928708
116129,0.03851883272984379
116348,0.06278511537612301
116371,0.03917273039120729
116379,0.04454860863479408
116448,0.03724503226097706
116658,0.056152707933356125
116775,0.06287447925443314
116804,0.05297444882594488
116889,0.06753678793415335
116911,0.13300202979162606
117111,0.05748770763314231
117122,0.05495063644906344
117142,0.45346371742942904
117189,0.41163702927089796
117510,0.056259002291787555
117645,0.04638485690004472
117759,0.06226287132058689
117810,0.03279271619749452
117902,0.03682850542272235
118032,0.030567035060912594
119002,0.14094484816637584
119540,0.07839773669523031
119591,0.07117073900148327
119771,0.10969672916723727
119857,0.15193255273034578
119902,0.2715476449949632
119930,0.022619676802133216
119966,0.041472362254985476
120184,0.07421503442738998
120507,0.05180698940617758
120556,0.05923080907047451
120779,0.03768934630759349
121010,0.6055350485344821
121164,0.06184615244592026
121459,0.08062917909713686
121744,0.04970215860473861
122134,0.06411895022613943
122370,0.03835278483845039
122466,0.266451045390887
122662,0.05797981978117509
122712,0.45240083516457913
122758,0.04659634461751424
122847,0.03351861049226983
122882,0.05421617048013974
123102,0.027601842616425086
123503,0.061597430655388814
123971,0.030786345822643894
124920,0.04554358459228025
125141,0.04753148932696059
125159,0.028609514239465592
125987,0.6914070812604517
126300,0.05750024136649196
126413,0.043848153924405144
126565,0.04899501362730136
126669,0.03437490490976587
126749,0.6260995037802864
127279,0.06634083651171913
127382,0.2831331030549051
127458,0.06807132164241093
127609,0.11955777635025759
127639,0.07166571929387167
127666,0.028962589929549334
127692,0.06841122704804316
127746,0.1356574308321492
127906,0.2860744005252825
128145,0.03790314237264319
128262,0.058515907194253855
128267,0.875874678951575
128420,0.26854515747967717
128474,0.040445309554277165
128549,0.06520925064011758
128616,0.03111776224274446
128805,0.07471541499475969
129143,0.06567421459466816
129184,0.03197812879604289
129281,0.03490834200206104
129292,0.03348242210246753
129464,0.04414975307060127
129978,0.06585817019183725
130256,0.13330738765415606
130269,0.07304425757100562
130329,0.5967953761012462
130477,0.04651236017981915
130715,0.04878178058553155
131344,0.06719515213378738
131375,0.13582532498095246
131384,0.05942081210637325
131758,0.05842963684944378
131825,0.053331817555592326
131843,0.195484057818148
131953,0.0575083829952087
132021,0.07298695947125478
132025,0.03740713603301065
132042,0.06358429386513147
132109,0.0638559706873144
132181,0.17987839319047227
132412,0.40543165609913356
132704,0.022747798596604238
133006,0.0759401684532958
133045,0.05776931940283893
133541,0.057594947421815194
133559,0.03989357812231276
133617,0.06511925563591638
133758,0.16522117104487116
133813,0.25521195432341237
133915,0.0509583551791514
134217,0.18371619569101572
134518,0.047426121147097516
134572,0.4052581861898732
135224,0.06415101974640473
135335,0.05171145447808325
135789,0.3681827972259832
136151,0.03859966205134256
136226,0.06478157343811748
136487,0.042661837167968286
136584,0.058174370407190146
136689,0.03955178677372144
136860,0.06141143368888391
136889,0.11288136128692051
136933,0.05895554552723784
137050,0.03819715092857411
137287,0.029173452635488924
137315,0.0735811839292212
137370,0.14186334630724076
137435,0.0316615392841216
137499,0.6403601846846793
138207,0.0520773736206895
138398,0.10743001324604297
138427,0.03285641048330606
138479,0.05488060741288413
138670,0.07964622924884203
139073,0.17245520378853832
139377,0.125570914817323
139383,0.3265855229101597
139964,0.04314815184102289
140121,0.596661688158315
140211,0.03903727172841388
140844,0.0652027804770896
141045,0.05870928921889751
141073,0.262915993564273
141218,0.05748889412084618
141354,0.05198562986379581
141401,0.07963207897292134
141698,0.4350767246547906
141701,0.10916925464009951
142041,0.04334368978949009
142112,0.02935400760308049
142144,0.04659041673526841
142184,0.04835707300613397
142237,0.0544830072138339
142367,0.029497128612302553
142670,0.4235806866815712
142995,0.028081069183677868
143090,0.2423681149880489
143358,0.060540089047841236
143522,0.46322313397194903
143757,0.05384950799876082
144248,0.05934770869196466
144568,0.051880125681420024
144605,0.13966716806701698
144818,0.0764424475143268
144851,0.02652141483495317
145255,0.08519727832067311
145291,0.4151955454571371
145343,0.054802115241089557
145404,0.035859078278646504
145410,0.05987776538581755
145455,0.038363546998033675
145466,0.07002244785897496
145499,0.04626731319545931
145512,0.041453214817324155
145869,0.05878609778790316
145930,0.06185577344738562
145941,0.24721098849480924
145988,0.06999099742936045
146314,0.06734882202841506
146737,0.07984823102914167
146874,0.05719264491881938
146998,0.8656721759022351
147796,0.1135649641402574
147937,0.033777946270033804
148310,0.05495702669736277
148404,0.11272519272289155
148561,0.07076191041596079
148712,0.27302529529396374
148836,0.03216429470033461
149289,0.0489495619556271
149408,0.05367374741533273
149535,0.2384829155699772
